Timestamp;EyeTracker;ObjectName;ObjectState;Label;GameObjectPos (Screen Coordinates);Aux Message;AOI_Origin;AOI_Width;AOI_Height
1733823993295;(1248.6, 269.4);YellowPurpleFlowers;Appear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823994060;(1429.6, 188.0);YellowPurpleFlowers;Disappear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823996079;(1240.0, 252.2);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823996080;(1240.0, 252.2);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823996594;(1397.2, 178.1);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823996594;(1397.2, 178.1);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823997343;(1421.6, 177.8);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823999360;(1435.5, 208.5);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823999362;(1435.5, 208.5);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823999878;(1446.0, 191.0);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823999879;(1446.0, 191.0);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733824000377;(1459.7, 160.2);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733824000643;(1432.9, 169.4);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733824002643;(1453.4, 140.4);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824003160;(1451.9, 140.5);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824003162;(1451.9, 140.5);YellowPurpleFlowers;Appear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733824003927;(1460.2, 123.7);YellowPurpleFlowers;Disappear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733824005944;(1460.8, 92.4);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824005944;(1460.8, 92.4);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824006461;(1458.7, 83.6);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824006461;(1458.7, 83.6);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733824007210;(1467.5, 89.8);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733824009227;(902.6, 206.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824009228;(902.6, 206.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824009728;(893.9, 205.9);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
